participant_id,word_type,reaction_time,word
ogumus,NEUTRAL,0.427,glass
ogumus,NEUTRAL,0.363,book
ogumus,NEUTRAL,0.345,library
ogumus,NEUTRAL,0.319,table
ogumus,NEGATIVE,0.516,danger
ogumus,NEUTRAL,0.582,chair
ogumus,NEGATIVE,0.752,funereal
ogumus,NEGATIVE,0.943,sadness
ogumus,NEUTRAL,0.442,socket
ogumus,NEGATIVE,0.82,poison
ogumus,NEGATIVE,0.523,shame
ogumus,NEUTRAL,0.64,window
ogumus,NEGATIVE,0.564,anxious
ogumus,NEGATIVE,0.801,disgust
ogumus,NEUTRAL,0.653,carpet
ogumus,NEUTRAL,0.387,camera
ogumus,NEUTRAL,0.344,pencil
ogumus,NEGATIVE,0.461,guilt
ogumus,NEUTRAL,0.379,screen
ogumus,NEGATIVE,0.332,pain
ogumus,NEGATIVE,0.701,lost
ogumus,NEGATIVE,0.444,curse
ogumus,NEGATIVE,0.444,unhappy
ogumus,NEUTRAL,0.471,cabinet
ogumus,NEUTRAL,0.476,candle
ogumus,NEUTRAL,0.55,bottle
ogumus,NEGATIVE,0.511,alarm
ogumus,NEUTRAL,0.576,frame
ogumus,NEGATIVE,0.446,grief
ogumus,NEUTRAL,0.477,bottle
ogumus,NEUTRAL,0.521,backpack
ogumus,NEUTRAL,0.697,pocket
ogumus,NEUTRAL,0.527,paper
ogumus,NEGATIVE,0.828,fear
ogumus,NEGATIVE,0.662,trauma
ogumus,NEGATIVE,0.564,anger
ogumus,NEGATIVE,0.474,blood
ogumus,NEGATIVE,0.98,death
ogumus,NEUTRAL,0.553,pillow
1234543,NEUTRAL,0.8816,frame
1234543,NEGATIVE,0.5601,poison
1234543,NEUTRAL,0.8333,camera
1234543,NEGATIVE,0.5536,lost
1234543,NEUTRAL,0.4809,table
1234543,NEGATIVE,0.7902,disgust
1234543,NEUTRAL,1.1394,carpet
1234543,NEGATIVE,1.6449,funereal
1234543,NEGATIVE,1.1933,pain
1234543,NEGATIVE,0.5111,anger
1234543,NEUTRAL,0.5161,pillow
1234543,NEUTRAL,1.0175,window
1234543,NEUTRAL,0.5429,chair
1234543,NEGATIVE,0.7155,trauma
1234543,NEGATIVE,1.0941,pocket
1234543,NEGATIVE,0.5118,bottle
1234543,NEUTRAL,0.6138,cabinet
1234543,NEGATIVE,1.3114,death
1234543,NEGATIVE,0.4462,fear
1234543,NEGATIVE,0.6829,curse
1234543,NEGATIVE,0.8632,grief
1234543,NEUTRAL,0.8065,screen
1234543,NEUTRAL,1.0195,library
1234543,NEGATIVE,0.7633,anxious
1234543,NEUTRAL,0.9186,book
1234543,NEUTRAL,0.5525,paper
1234543,NEUTRAL,0.4411,bottle
1234543,NEGATIVE,0.6861,unhappy
1234543,NEUTRAL,0.7605,socket
1234543,NEUTRAL,0.436,glass
1234543,NEGATIVE,0.6071,guilt
1234543,NEGATIVE,0.7034,blood
1234543,NEUTRAL,0.4691,candle
1234543,NEGATIVE,1.0118,alarm
1234543,NEGATIVE,1.0208,danger
1234543,NEGATIVE,1.3801,panic
1234543,NEGATIVE,0.7124,shame
1234543,NEGATIVE,0.6048,sadness
1234543,NEUTRAL,0.5363,backpack
1234543,NEUTRAL,1.0226,pencil
2786812,NEUTRAL,0.878,library
2786812,NEGATIVE,0.513,lost
2786812,NEUTRAL,0.772,camera
2786812,NEUTRAL,0.618,screen
2786812,NEUTRAL,0.451,frame
2786812,NEUTRAL,0.429,shame
2786812,NEUTRAL,0.596,pocket
2786812,NEGATIVE,0.49,guilt
2786812,NEGATIVE,0.441,grief
2786812,NEUTRAL,0.601,backpack
2786812,NEUTRAL,0.45,pillow
2786812,NEUTRAL,0.586,window
2786812,NEGATIVE,0.352,funereal
2786812,NEUTRAL,0.447,book
2786812,NEGATIVE,0.519,curse
2786812,NEUTRAL,0.586,cabinet
2786812,NEUTRAL,0.534,glass
2786812,NEUTRAL,0.469,bottle
2786812,NEGATIVE,0.466,anxious
2786812,NEGATIVE,0.447,trauma
2786812,NEUTRAL,0.484,socket
2786812,NEGATIVE,0.35,panic
2786812,NEUTRAL,0.421,chair
2786812,NEGATIVE,0.413,blood
2786812,NEUTRAL,0.623,paper
2786812,NEUTRAL,0.549,candle
2786812,NEGATIVE,0.572,disgust
2786812,NEGATIVE,0.62,unhappy
2786812,NEGATIVE,0.694,death
2786812,NEGATIVE,0.43,fear
2786812,NEUTRAL,0.579,bottle
2786812,NEUTRAL,0.428,carpet
2786812,NEGATIVE,0.545,danger
2786812,NEGATIVE,0.518,pain
2786812,NEGATIVE,0.445,sadness
2786812,NEUTRAL,0.357,table
2786812,NEUTRAL,0.504,pencil
2786812,NEGATIVE,0.605,alarm
2786812,NEGATIVE,0.56,poison
eylem,NEGATIVE,0.681,death
eylem,NEUTRAL,0.8661,socket
eylem,0,0.6884,disgust
eylem,NEUTRAL,0.9444,pencil
eylem,0,0.5426,poison
eylem,0,0.371,unhappy
eylem,0,0.4261,shame
eylem,NEUTRAL,0.3621,backpack
eylem,NEUTRAL,0.5498,glass
eylem,NEUTRAL,0.4323,chair
eylem,NEGATIVE,0.4298,pain
eylem,NEGATIVE,0.4669,danger
eylem,NEGATIVE,0.7161,fear
eylem,NEUTRAL,0.4231,window
eylem,NEGATIVE,0.5091,anxious
eylem,NEGATIVE,0.5142,curse
eylem,NEGATIVE,0.6679,blood
eylem,NEGATIVE,0.5221,funereal
eylem,NEGATIVE,0.9731,pocket
eylem,NEUTRAL,0.4455,camera
eylem,NEGATIVE,0.4262,trauma
eylem,NEUTRAL,0.4121,paper
eylem,NEGATIVE,0.4526,lost
eylem,NEUTRAL,0.642,alarm
eylem,NEUTRAL,0.5498,bottle
eylem,NEUTRAL,0.3775,library
eylem,NEGATIVE,0.4725,anger
eylem,NEGATIVE,0.501,grief
eylem,NEUTRAL,0.7017,carpet
eylem,NEUTRAL,0.6138,sadness
eylem,NEUTRAL,0.3885,pillow
eylem,NEUTRAL,0.3361,cabinet
eylem,NEUTRAL,0.5066,book
eylem,NEUTRAL,0.689,screen
eylem,NEUTRAL,0.9865,table
eylem,NEUTRAL,0.5378,bottle
eylem,NEGATIVE,0.7682,panic
eylem,NEUTRAL,0.563,frame
eylem,NEGATIVE,0.4609,guilt
eylem,NEUTRAL,0.4453,candle
2786812,NEGATIVE,1.115,anger
2786812,NEUTRAL,0.878,library
2786812,NEGATIVE,0.513,lost
2786812,NEUTRAL,0.772,camera
2786812,NEUTRAL,0.618,screen
2786812,NEUTRAL,0.451,frame
2786812,NEGATIVE,0.429,shame
2786812,NEUTRAL,0.596,pocket
2786812,NEGATIVE,0.49,guilt
2786812,NEGATIVE,0.441,grief
2786812,NEGATIVE,0.601,backpack
2786812,NEGATIVE,0.45,pillow
2786812,NEUTRAL,0.586,window
2786812,NEGATIVE,0.352,funereal
2786812,NEUTRAL,0.447,book
2786812,NEGATIVE,0.519,curse
2786812,NEUTRAL,0.586,cabinet
2786812,NEUTRAL,0.534,glass
2786812,NEUTRAL,0.469,bottle
2786812,NEGATIVE,0.466,anxious
2786812,NEGATIVE,0.447,trauma
2786812,NEUTRAL,0.484,socket
2786812,NEGATIVE,0.35,panic
2786812,NEUTRAL,0.421,chair
2786812,NEGATIVE,0.413,blood
2786812,NEUTRAL,0.623,paper
2786812,NEUTRAL,0.549,candle
2786812,NEGATIVE,0.572,disgust
2786812,NEGATIVE,0.62,unhappy
2786812,NEGATIVE,0.694,death
2786812,NEGATIVE,0.43,fear
2786812,NEUTRAL,0.579,bottle
2786812,NEUTRAL,0.428,carpet
2786812,NEUTRAL,0.545,danger
2786812,NEUTRAL,0.518,pain
2786812,NEGATIVE,0.445,sadness
2786812,NEUTRAL,0.357,table
2786812,NEUTRAL,0.504,pencil
2786812,NEGATIVE,0.605,alarm
2786812,NEGATIVE,0.56,poison
2380228,NEUTRAL,0.552,carpet
2380228,NEGATIVE,0.586,guilt
2380228,NEGATIVE,0.406,danger
2380228,NEGATIVE,0.392,alarm
2380228,NEGATIVE,0.5,anxious
2380228,NEUTRAL,0.619,camera
2380228,NEUTRAL,0.668,candle
2380228,NEGATIVE,0.479,anger
2380228,NEGATIVE,0.548,funereal
2380228,NEUTRAL,0.637,glass
2380228,NEUTRAL,0.894,pocket
2380228,NEGATIVE,0.518,grief
2380228,NEGATIVE,0.523,disgust
2380228,NEUTRAL,0.423,chair
2380228,NEGATIVE,0.701,shame
2380228,NEGATIVE,0.711,panic
2380228,NEGATIVE,0.449,curse
2380228,NEGATIVE,0.649,death
2380228,NEGATIVE,0.368,sadness
2380228,NEUTRAL,0.488,cabinet
2380228,NEUTRAL,0.385,screen
2380228,NEGATIVE,0.361,poison
2380228,NEGATIVE,0.894,lost
2380228,NEUTRAL,0.512,paper
2380228,NEUTRAL,0.716,window
2380228,NEUTRAL,0.618,frame
2380228,NEUTRAL,0.421,library
2380228,NEUTRAL,0.344,bottle
2380228,NEGATIVE,0.527,unhappy
2380228,NEGATIVE,0.545,pain
2380228,NEUTRAL,1.07,pencil
2380228,NEUTRAL,0.707,backpack
2380228,NEUTRAL,0.452,pillow
2380228,NEUTRAL,0.694,book
2380228,NEUTRAL,1.1,bottle
2380228,NEGATIVE,0.649,blood
2380228,NEUTRAL,0.398,table
2380228,NEGATIVE,0.81,fear
sonat,NEUTRAL,0.638,candle
sonat,NEUTRAL,0.561,socket
sonat,NEGATIVE,0.602,fear
sonat,NEUTRAL,0.715,pillow
sonat,NEUTRAL,0.416,bottle
sonat,NEUTRAL,0.519,carpet
sonat,NEUTRAL,0.475,alarm
sonat,NEUTRAL,0.57,curse
sonat,NEUTRAL,0.389,danger
sonat,NEUTRAL,0.826,trauma
sonat,NEUTRAL,0.478,death
sonat,NEUTRAL,0.437,window
sonat,NEUTRAL,0.344,grief
sonat,NEUTRAL,0.765,library
sonat,NEUTRAL,0.534,shame
sonat,NEUTRAL,0.606,poison
sonat,NEUTRAL,0.932,pencil
sonat,NEUTRAL,0.794,cabinet
sonat,NEUTRAL,0.466,pain
sonat,NEUTRAL,0.46,disgust
sonat,NEUTRAL,0.866,lost
sonat,NEUTRAL,0.374,panic
sonat,NEUTRAL,0.769,chair
sonat,NEUTRAL,0.452,backpack
sonat,NEUTRAL,0.736,frame
sonat,NEUTRAL,0.963,screen
sonat,NEUTRAL,0.447,blood
sonat,NEUTRAL,0.497,bottle
sonat,NEUTRAL,0.308,book
sonat,NEUTRAL,0.56,anxious
sonat,NEUTRAL,0.359,anger
sonat,NEUTRAL,0.397,unhappy
sonat,NEUTRAL,0.643,table
sonat,NEUTRAL,0.533,sadness
sonat,NEUTRAL,0.731,guilt
83745683475,NEUTRAL,1.3877,frame
83745683475,NEGATIVE,0.5349,anger
83745683475,NEUTRAL,0.7337,pocket
83745683475,NEGATIVE,0.7871,lost
83745683475,NEGATIVE,0.6836,funereal
83745683475,NEUTRAL,0.633,paper
83745683475,NEGATIVE,0.597,alarm
83745683475,NEUTRAL,0.5568,chair
83745683475,NEUTRAL,0.6138,window
83745683475,NEUTRAL,0.5805,bottle
83745683475,NEGATIVE,0.4812,death
83745683475,NEUTRAL,0.5003,backpack
83745683475,NEUTRAL,0.6815,glass
83745683475,NEGATIVE,0.5185,unhappy
83745683475,NEGATIVE,1.1245,panic
83745683475,NEUTRAL,0.5706,book
83745683475,NEGATIVE,0.6311,anxious
83745683475,NEGATIVE,0.5035,danger
83745683475,NEUTRAL,0.6813,library
83745683475,NEGATIVE,0.698,sadness
83745683475,NEGATIVE,0.6981,pain
83745683475,NEUTRAL,0.8144,carpet
83745683475,NEUTRAL,0.5832,screen
83745683475,NEGATIVE,0.49,shame
83745683475,NEUTRAL,0.5205,cabinet
83745683475,NEUTRAL,0.5187,candle
83745683475,NEUTRAL,0.4648,pillow
83745683475,NEUTRAL,0.5032,camera
83745683475,NEUTRAL,0.6223,pencil
83745683475,NEGATIVE,0.8982,grief
83745683475,NEUTRAL,0.7006,table
83745683475,NEGATIVE,0.8805,guilt
83745683475,NEUTRAL,0.6015,socket
83745683475,NEUTRAL,0.4816,bottle
83745683475,NEGATIVE,0.7168,blood
83745683475,NEGATIVE,0.6036,disgust
83745683475,NEGATIVE,0.5313,trauma
83745683475,NEGATIVE,0.5896,curse
83745683475,NEGATIVE,0.5259,poison
83745683475,NEGATIVE,0.8152,fear
